smiles,A,V,N,H,J,B,S,C,D,R,G,P,M,L
CC1=NC=C(COP(=O)(O)O)C(C=O)=C1O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C1=CC=C2N=C3C=CC(=[N+](C)C)C=C3SC2=C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CCCO,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC(CC1=CC(I)=C(O)C(I)=C1)C(=O)O,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,1,0,0,1,0,0,0,0,0,0,0,0,0,0
COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O=C(O)C(O)C1=CC=CC=C1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CC(=O)OCC[N+](C)(C)C,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CN(CC(=O)O)C(N)=NP(=O)(O)O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(=O)OC(CC(=O)O)C[N+](C)(C)C,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCC(O)C1=CC=C(O)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1CNC2=C(C=CC=C2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
O=C(O)CP(=O)(O)O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCCO,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COC1=C2OC3C(O)C=CC4C5CC(=C2C43CCN5C)C=C1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O=C(O)P(=O)(O)O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)C4=C(C=CC=C4O)C(C)(O)C3C(O)C12,0,0,0,0,1,0,1,0,1,0,1,0,0,0
ClC=C(Cl)Cl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(=O)C1=CC2=C(C=C1)SC1=CC=CC=C1N2CCCN1CCN(CCO)CC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCCCNCCSP(=O)(O)O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C[N+](C)(C)C)OC(N)=O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC1=NC(=O)N(CC(CO)OCP(=O)(O)O)C=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NCCNCCNCCNCCN,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCOP(=O)(OCC)SCC[N+](C)(C)C,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C2=CC=CC=C2CC1O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COC1=CC=CC(OC)=C1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[C-]#N,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C[N+]1=CC=CC=C1C=NO,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C(=O)OC1=C[N+](C)=CC=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC1=CC(C=CC2=[N+](C)C3=C(C=C2)C=C(N(C)C)C=C3)=C(C)N1C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CN1C=NC2=C1C(=O)NC(=O)N2C,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C21)C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNC1(C)C2CCC(C2)C1(C)C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)NCC(O)COC1=CC=C(O)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COC1=C2C=C3C(=C1)CCN(C)C3CC1=CC=C(C=C1)OC1=C3C(=CC(OC)=C1O)CC[N+](C)(C)C3CC1=CC(=C(O)C=C1)O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COC1=C(OC)C=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC(OC)=C(OC)C=C2)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CCC(C1=CC2=C(C=C1)C=C(OC)C=C2)C(C)(C)C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C[N+]1(C)CCN(CC(O)(C2=CC=CC=C2)C2CCCCC2)CC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1C2CCC1CC(OC(=O)C(O)C1=CC=CC=C1)C2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C[N+]1(C)CCCC(OC(=O)C(O)(C2=CC=CC=C2)C2=CC=CC=C2)C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[N+](CC)(CC)CCC(O)(C1=CC=CC=C1)C1CCCCC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC(O)COC1=CC=C(Cl)C=C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=CC(OC)=C(OC)C=C21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CN(C)CCN(CC1=CC=CS1)C1=CC=CC=N1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COC(=O)C1=CC=CC=C1C(=O)OC,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CNC1CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(OC)C(=O)C=C21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCCCCCCCCCCCCC[N+](C)(C)C,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC1=C2C(=O)C(C(=O)O)=CN(C3CC3)C2=CC(N2CCNC(C)C2)=C1F,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1(C)SC2C(NC(=O)C(C(=O)OC3=CC=CC=C3)C3=CC=CC=C3)C(=O)N2C1C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CCC1=CC=CC=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)C4=CC(O)=CC(O)=C4C4=C(O)C=CC3=C4)C(OC3CC(C)(N)C(O)C(C)O3)C3=CC(Cl)=C(C=C3)OC3=CC2=CC(=C3OC2OC(CO)C(O)C(O)C2OC2CC(C)(NCC3=CC=C(C4=CC=C(Cl)C=C4)C=C3)C(O)C(C)O2)OC2=C(Cl)C=C(C=C2)C1O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COC1CC(=C(C2=CC=CS2)C2=CC=CS2)C[N+](C)(C)C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=S(=O)([O-])OC1=CC=C(C(C2=CC=C(OS(=O)(=O)[O-])C=C2)C2=CC=CC=N2)C=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(OCCN1CCCCCC1)C(C1=CSC=C1)C1CCCCC1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ClC(Cl)Cl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N=C(N)N1CCC2=CC=CC=C2C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O=C(OC1=CC=CC=C1)C1=CC=CC=C1O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC(=O)NC1=C(I)C(N(C)C(C)=O)=C(I)C(C(=O)O)=C1I,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C=O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OO,1,0,0,0,0,0,1,0,1,0,0,0,0,0
OCC1OC(O)C(O)C(O)C1O,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CC(=O)O,0,0,0,0,0,0,1,0,0,0,1,0,0,0
NCC(=O)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)CCC(N)C(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1OC(C(O)CO)C(O)=C1O,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CSCCC(N)C(=O)O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NC(CC1=CNC2=CC=CC=C12)C(=O)O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC(N)=O,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OCC(O)CO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CCCCC1SCC2NC(=O)NC21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OC1=CC=CC=C1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
NC(=O)C1=CN=CC=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CC(O)(CC(=O)O)C(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(N5C=NC6=CC(C)=C(C)C=C65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC(C)OP(=O)(F)OC(C)C,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC=N1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NC(=O)CCCCC1CCSS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C1=CN=CC=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
