washed_smiles,CT_TOX
*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,0
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0
O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],0
[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=C2C=CC(=C(N)[NH3+])C=C2)C=C1,0
[H]/[NH+]=C(\N)C1=CC=C(OCCCCCOC2=CC=C(/C(N)=[NH+]/[H])C=C2)C=C1,0
O=[N+]([O-])[O-],0
[N]=O,0
O=[99Tc](=O)(=O)[O-],0
O=P([O-])([O-])F,0
O=S(=O)([O-])[O-],0
O=S([O-])([O-])=S,0
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0
C#CC1(OC(N)=O)CCCCC1,0
C#CC[NH2+][C@@H]1CCC2=C1C=CC=C2,0
C#CCC(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C1,0
C#N,0
N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,0
O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,0
[NH3+][C@@H](CS)C(=O)[O-],0
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0
O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O,0
OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,0
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0
O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
O=C[C@H](O)[C@@H](O)[C@H](O)CO,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0
NC(N)=[NH2+],0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
O=C([O-])C(O)C(O)C(=O)[O-],0
O=C([O-])C(S)C(S)C(=O)[O-],0
O=P([O-])([O-])OCC(Cl)(Cl)Cl,0
[NH3+]C(CO)(CO)CO,0
OCC(O)CO,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
OCC(S)CS,0
FC(F)(F)C(F)(F)C(F)(F)F,0
FC(F)(F)C(Cl)Br,0
FC(F)OC(Cl)C(F)(F)F,0
FC(F)OC(F)C(F)(F)F,0
FC(F)=C(F)F,0
[NH3+]CC(=O)[O-],0
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0
FC(F)OC(F)(F)C(F)Cl,0
O=C([O-])/C=C/C(=O)[O-],0
NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],0
NCC[NH2+]CCNCC[NH2+]CCN,0
[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],0
[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,0
[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
O=C([O-])CCC(=O)[O-],0
[NH3+]CC(=O)CCC(=O)[O-],0
O=C([O-])CCCO,0
NC(=O)CC[C@H]([NH3+])C(=O)[O-],0
[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],0
[NH3+]CCCCCC(=O)[O-],0
O=C([O-])CCCCCCCC(=O)[O-],0
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],0
NCC[NH2+]CCNCC[NH3+],0
O=C(NCC(O)CO)C1=C(I)C(N(CCO)C(=O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,0
O=S(=O)([O-])CCS,0
[NH3+]CCS,0
O=C([O-])[O-],0
O=C([O-])P(=O)([O-])[O-],0
NC(N)=O,0
NC(=O)NO,0
FCOC(C(F)(F)F)C(F)(F)F,0
C/[NH+]=C1/CN([O-])C(C2=CC=CC=C2)=C2C=C(Cl)C=CC2=N1,0
C/C=C(C(=C/C)/C1=CC=C(O)C=C1)\C1=CC=C(O)C=C1,0
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])C3=CC=C(O)C=C3)[C@H]2SC1,0
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,0
NC(=[NH2+])NC(=O)C1=C(N)N=C(N)C(Cl)=N1,0
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0
[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,0
