washed_smiles,CT_TOX
[Se],1
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O,1
CC(C)C[C@H](NC(=O)CNC(=O)C1=C(Cl)C=CC(Cl)=C1)B(O)O,1
NC1=NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=N1,1
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C3)N2C=O)N1,1
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=C3)N2C=O)N1,1
O=C(NS(=O)(=O)C1=CC=C(Br)S1)C1=C(Cl)C=C(Cl)C=C1,1
O=C(O)C1(C(=O)O)CCC1,1
O=C1C2=C(O)C=CC(O)=C2C(=O)C2=C(NCCNCCO)C=CC(NCCNCCO)=C12,1
N#CC1=CC=C(C(C2=CC=C(C#N)C=C2)N2C=NC=N2)C=C1,1
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=C2)N1,1
NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,1
O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,1
NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,1
O=C1CCC2=C(C=C(OCCCCN3CCN(C4=C(Cl)C(Cl)=CC=C4)CC3)C=C2)N1,1
NC1=NC2=NC=C(CNC3=CC=C(C(=O)N[C@@H](CCCNC(=O)C4=CC=CC=C4C(=O)O)C(=O)O)C=C3)N=C2C(N)=N1,1
O=C(CCCCCCC(=O)NC1=CC=CC=C1)NO,1
O=C(/C=C/C1=CC(S(=O)(=O)NC2=CC=CC=C2)=CC=C1)NO,1
ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1,1
O=C(C1=CC2=NON=C2C=C1)N1CCCCC1,1
O=C(C1=CC=C(F)C(F)=C1NC1=C(F)C=C(I)C=C1)N1CC(O)([C@@H]2CCCCN2)C1,1
NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1,1
NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1,1
