washed_smiles,toxic_label
O=[N+]([O-])C1=CC=C(Cl)C=C1,1
NC1=CC=C([N+](=O)[O-])C=C1,1
O=[N+]([O-])C1=CC=C(O)C=C1,1
OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,1
CC(C)C1=CC=C(C(C)C)C=C1,1
CN(C)C1=CC=C(N(C)C)C=C1,1
O=[N+]([O-])C1=CC=C([N+](=O)[O-])C=C1,1
Cl[In](Cl)Cl,1
Cl[Sb](Cl)Cl,1
O=S(=O)([O-])[O-],1
CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(N4CCCCC4)CC3)C=C12,1
CCOC1=CC=C([N+](=O)[O-])C=C1,1
CCCCCC/C=C/CCCCCCCC(=O)O,1
C=CC1=CC=NC=C1,1
Cl[Hg]C1=CC=CC=C1,1
NNC1=CC=CC=C1,1
ON=C1CCCCC1,1
ClC1=CC=C2C(=C3CCNCC3)C3=C(C=CC=N3)CCC2=C1,1
CCNC1=NC(N)=NC(Cl)=N1,1
COC(=O)C1=C(S(=O)(=O)NC(=O)NC2=NC(OC)=CC(OC)=N2)N(C)N=C1Cl,1
CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C(C)(C)C3=CC=CC=C3)C=C2)C=C1,1
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,1
C1N2CN3CN1CN(C2)C3,1
CCOC(=O)CN1C=CC=C1C1=NC(C2=CC=C(OC)C=C2)=C(C2=CC=C(OC)C=C2)S1,1
C1=CC=C(OP(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,1
ClC1=NC(Cl)=NC(NC2=CC=CC=C2Cl)=N1,1
NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,1
OC1=CC=CC(NC2=CC=CC=C2)=C1,1
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,1
O=C(NC1=CC=C(Cl)C=C1)NC1=CC=C(Cl)C(Cl)=C1,1
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,1
O=C(NC1=CC=CC(Cl)=C1)OCC#CCCl,1
C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,1
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=C(F)C=C(OC2=C(Cl)C=C(C(F)(F)F)C=C2)C=C1,1
COC1=CC=C(CN2CCN(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)CC2)C(OC)=C1OC,1
OC1=CC=C(CC2=CC=CC=C2)C=C1,1
NC1=CC=C(NC2=CC=CC=C2)C=C1,1
BrC1=CC=C(OC2=CC=CC=C2)C=C1,1
CN(C)C1=CC=C(CC2=CC=C(N(C)C)C=C2)C=C1,1
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,1
CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,1
CCCCCCCCC1=CC=C(NC2=CC=C(CCCCCCCC)C=C2)C=C1,1
COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1,1
CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,1
NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,1
NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,1
NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,1
N#CC(C1=CC=C(Cl)C=C1)C1=C(Cl)C=C(N2N=CC(=O)NC2=O)C=C1Cl,1
C1CCC(NC2CCCCC2)CC1,1
C1=CC=C(OC2=CC=CC=C2)C=C1,1
CCCCCCC(C=O)=CC1=CC=CC=C1,1
O=[N+]([O-])C1=C(C2=CNC=C2Cl)C=CC=C1Cl,1
C1=CC(OCC2CO2)=CC(OCC2CO2)=C1,1
COC1=CC=CC2=C1C=C([N+](=O)[O-])C1=C(C(=O)[O-])C=C3OCOC3=C12,1
CCC(C)NC1=CC=C(NC(C)CC)C=C1,1
N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,1
S=C(NC1=CC=CC=C1)NC1=CC=CC=C1,1
CC1(C)CCC(C)(C)C2=C1C=CC(C(=O)NC1=CC=C(C(=O)O)C=C1)=C2,1
CCCCC(CC)COCCC#N,1
N#CC(Br)(Br)C(N)=O,1
CC(=O)NC1=CC=CC(N)=C1,1
O=C=NC1=CC(Cl)=C(Cl)C=C1,1
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,1
COC1=CC(C)=C(N)C=C1,1
CNCCCC12CCC(C3=C1C=CC=C3)C1=C2C=CC=C1,1
N#CC1=CC=C(C2CCCC3=CN=CN32)C=C1,1
CC(C)[C@@H](NC1=C(Cl)C=C(C(F)(F)F)C=C1)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,1
CCCCOP(OCCCC)OCCCC,1
O=[N+]([O-])C=CC1=CC=CC=C1,1
OB(O)O[Hg]C1=CC=CC=C1,1
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=C(Cl)C=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C1,1
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1
