smiles,MMP9_9606,PTGS1_9940,MAOA_10116,PTGS1_9913,PTGS2_9913,ACHE_9913,ACHE_10116,PTGS2_9940,PTGS2_10090,PTGS1_10090,PDE4D_9606,ACHE_7787,MAOA_9606,PTGS2_9606,PTGS2_10116,MAOA_9913,PTGS1_9606,ACHE_10090,XDH_10116,XDH_9606,PTGS1_9615,PTGS1_9986,XDH_9913,PDE3A_9606,ACHE_8005,PDE3B_9606,ACHE_9606
CCOC1=CC=C2C(=O)C(=CC3=CC=C(OCCCN4CCOCC4)C=C3)COC2=C1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CN1CCN(C2=CC=C(C(=O)NC3=CC=C(C4CC4N)C=C3)C=C2)CC1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CCOC(C(=O)C1=CC=C(C2=CC(OC)=C(Cl)C(OC)=C2)O1)C1=CC=C(C2=NN=C(C)S2)C=C1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
CC1=C2C(=O)N(CN3CCN(S(C)(=O)=O)CC3)C(=O)C2=C(C)N1C1=CC(Cl)=CC=C1,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,
O=C1CCCC2=C1C(C1=CC=C(SC3=NC4=CC=CC=C4N3)O1)C1=CNC(C(=O)O)=C1N2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
CC1=C2OP(=O)(OCC3C=CC(N4C=NC5=C(N)N=CN=C54)O3)OCC2=CC=C1,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
COC1=CC=C(C2C3=C(C)NN=C3OC3=NC4=C(CCCC4)C(N)=C32)C(OC)=C1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=C(C2=NC(C)=C3C(C)=NC4=C(C=C(C(F)(F)F)C=C4Cl)N23)C=CN=C1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
NCCC1=CC=C(OCC2=CC=CC(C(F)(F)F)=C2)C=C1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
COC1=CC=C([P@](=O)(OCC(F)(F)F)N2CC3=CC=CC=C3C[C@@H]2C(=O)NO)C=C1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C(NC1=CC=C(Br)C=C1)NC1=CC=C(C2=NC3=CC=CC=C3O2)C=C1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CCN(CCCCCCOC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C=C3O2)C=C1)CC1=CC=CC=C1OC,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,1.0
O=C1NC(=O)C(C2=CC=C(OC3=CC=CC=C3)C=C2)(N2CCN(CCOCCOCCOCCN3C=C(CNS(=O)(=O)C4=CC=C(F)C=C4)N=N3)CC2)C(=O)N1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC1=C(CN(CC2=CC=CC=C2)/C(=C/C(=O)OC)C(=O)OC)C(=O)C2=CC(Br)=CC=C2O1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CN(CCCNC1=NN=C(C2=CC=CC=C2)C=C1)CC1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CN1C2=C(C=C(OC(=O)NCCC3=CC=CC=C3)C=C2)C2(C)CCN(CCC3=CC=CC=C3)C12,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
CC1=CC=C(NC(=O)/C=C/C2=CC=C(O)C=C2)C=C1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(O)C=CCCCCCCCC1=C(C(=O)OC)C(OC)=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
NC1CCC(NC2CC2C2=CC=C(Br)C=C2)CC1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
CN(CCCOC1=CC=C2C=C(C3=CC=CC=C3)C(=O)OC2=C1)CC1=CC=CC(OC(=O)NCCCCCC2=CC=CC=C2)=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
O=C1N=C(N2CCOCC2)OC2=C1C=CC(OCC1=CC=CC=C1)=C2C1=CN=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
O=C(OC1=CC=C(Cl)C=C1)N1C2=CC=CC=C2SC2=CC=CC=C21,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=CC(C2=CC=C(S(=O)(=O)NC(CC3=CNC4=CC=CC=C34)C(=O)O)C=C2)=C1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=C2C(=C1)O[C@H](C1=CC=C(OC)C(OC)=C1)C[C@@H]2NC(=O)C1(C2=CC=C3OC(F)(F)OC3=C2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CNS(=O)(=O)C1=CC=C(OCC2=CC=CC(OC(F)(F)F)=C2)C=C1)NO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
