smiles,HTR3A_10116,P2RX3_9606,P2RX7_9606,CHRNA4_10116,CACNA1C_10141,GRIN1_9606,KCNQ1_10141,KCNH2_9606,KCNJ11_9606,KCNN2_9606,SCN2A_9606,HTR3A_9606,CHRNA4_9606,CACNA1C_9986,SCN2A_10116,SCN5A_9606,GABRA1_9606,CACNA1C_10116,P2RX3_10116,KCNH2_10141,P2RX7_10116,CHRNA1_9606,KCNN2_10116,KCNN1_9606,CACNA1C_9606,HTR3A_10141,KCNN3_10116,HTR3A_10090,KCNQ1_9606,SCN5A_10116,GRIN1_10116,KCNN3_9606,P2RX7_10090
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)C3=CC=CC(C(F)(F)F)=C3)C2=O)[C@H](CS(=O)(=O)C2=CC=CC=C2)C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=NN2C=CC=CC2=C1CCNCC1=CC=C(C=CC(=O)NO)C=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC2=C(C=C1)N1C=CC=C1C1(CCN(C(=O)C3=CC=CC(C)=C3)CC1)N2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CCOC1=CC(CN2CCC3(CC2)CCN(S(=O)(=O)C2=CN=CC=C2)CC3)=CC(OCC)=C1C1=CC=C(F)C=C1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)N1C(=O)CCC1C(=O)NCC1=C(Cl)C(C(F)(F)F)=CC=C1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=NOC(C)=C1NC(=O)NC1=CC2=C(C=C1)OC(C)CCCCOC(CN(C)S(=O)(=O)C1=CC=C(F)C=C1)C(C)CN(C(C)C)C2=O,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(/C=C/C1=CC=C(CN2CCCC(C3=CNC4=CC=CC=C34)C2)C=C1)NO,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCC1=CC=C(F)C=C1)N(C1=CC=C(Cl)C=C1)C1CCN(CC2=CC=NN=C2)CC1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=NC2=CC=CC=C2N=C1C(=O)NC1=CC=C(O)C(CN2CCCCC2)=C1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
COC1=CC=C(C(O)=C2C(=O)C(=O)N(C3=CC=C(C4=NC=CO4)C=C3)C2C2CCCCC2)C=C1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N=C1SC=CN1CC1=CC=C(Cl)N=C1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
CC1=CC(NCC2=CC=CC(Cl)=C2Cl)=C2C=CC=C(C(N)=O)C2=N1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC(C(=O)NCCN2CCCC2)=CC=C1OC1=CC=C(Cl)C=C1NS(=O)(=O)C1=CC=C(Cl)C(C(F)(F)F)=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC1CC2(CCN(CC3=CC4=C(C=C3)N(C(N)=O)C3=CC=CC=C43)CC2)C2=CC=CC=C21,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC1=C(C#N)C=C(C2=NC(C3=CC4=C(C=C3)CN(C(CO)CO)CC4)=NO2)C=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCC1=NC(C2=CC=CC=C2)C2=CC=CC=C2CN1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
C#CC1=CN=C(NC2=NC=C(C#N)N=C2)C=C1NCC1CNCCO1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
COCC(C)COCC1=CC=C(C2(O)CCNCC2C2=NOC(C3=CC=CC=C3CCNC(C)=O)=C2Br)C=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(NCCCN1CCN(C2=NOC3=CC=CC=C23)CC1)C1=CC(Cl)=C(Cl)C=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CNC1=NC(C)=C2C=C(C3=CC(NS(=O)(=O)C4=C(F)C=C(F)C=C4)=C(OC)N=C3)C=C(OC3CCOCC3)C2=N1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=NOC(C2CC2C(=O)NCC2=C3CN(C(=O)NC(C)(C)C)CCC3=C(C3=CC(OC(F)(F)F)=CC=C3)C=C2)=N1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCC#N)C1C1=CC([N+](=O)[O-])=CC=C1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
OC1=CC=C2C(=C1)CCN(CCCCC1=CC=CC=C1)CC2O,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=C(CCC(=O)NNC2=C(Cl)C=NC=C2Cl)C=C1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=C(OC2=CC=C(N3CCNCC3)C=C2)C=CC(NC(=S)NCCCN2C=NC=C2C)=C1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
