smiles,SLC6A3_9606,SLC6A4_9606,SLC6A4_10116,SLC6A4_9544,TSPO_10116,SLC6A3_10090,SLC6A4_10090,TSPO_9606,SLC6A2_10090,SLC6A2_9606,SLC6A3_10116
C1=CC=C(CC2CN3CCCC3C3=CC=CC=C32)C=C1,,,0.0,,,,,,,,0.0
COC(=O)C1C(C2=CC=C(C(F)(F)F)C=C2)CC2CCC1N2C,,,,,,,,,,,1.0
CCOC(=O)CC1=NN(CNC(=O)CCCN2CCN(C3=CC(C)=C(C)C=C3)CC2)C(=O)C2=C1C=CC=C2F,,1.0,,,,,,,,,
CC1=C(Cl)C=CC=C1N1CCN(CCCNC(=O)C2=C(C)N(C3CCCC3)C(C)=N2)CC1,,1.0,,,,,,,,,
CC1=CC=C(C2=CC=CC=C2N2CCN(CCC3=CC=C(Cl)C(Cl)=C3)CC2)C=C1C,,,0.0,,,,,,,,
O=C1CNCC(F)(F)CN1C1=CC=C(Cl)C(Cl)=C1,0.0,0.0,,,,,,,,0.0,
CN1CCC(OC(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,,,,,,,,,,,1.0
COC(=O)C1=CC=CC=C1C1=CC=C2C=CC=CC2=C1,0.0,0.0,,,,,,,,0.0,
NC[C@@H]1C[C@@]1(C(=O)N1CCCC2=CC=CC=C21)C1=CSC=C1,0.0,1.0,,,,,,,,1.0,
BrC1=CC=CC=C1C1=NN=NN1CCCN1CCC(CC2=CC=CC=C2)CC1,0.0,0.0,,,,,,,,0.0,
FC(F)OC1=CC=CC=C1CC(C1=CC=CC=C1)N1CCNCC1,0.0,1.0,,,,,,,,1.0,
NC(=O)C1=CC2=C(C=CC(N3CCN(CCCCC4=CNC5=C4C=C(F)C=C5)CC3)=C2)O1,,,1.0,,,,,,,,
CC1=CC(S(=O)(=O)NCCN2CC=C(C3=CNC4=C3C=C(Cl)C=C4)CC2)=CC=C1,,1.0,1.0,,,,,,,,
CC1=CN=C(N2CCN(CCCCC3=CC=C(F)C=C3)CC2)C=C1,,0.0,,,,,,,,,
CC1=CC=C2C(N3CCN(CCC4=CC=CC5=C4OCC4=NC=CN54)CC3)=CC=CC2=N1,,1.0,,,,,,,,,
O=[N+]([O-])C1=CC(C(F)(F)F)=C(N2CCCN(CCC(O)C3=CSC4=CC=CC=C34)CC2)C=C1,,,0.0,,,,,,,,
C#CCN1CCN(CC2=CC=C(OC(=O)N(C)C)C3=NC=CC=C23)CC1,,,0.0,,,,,,,,
CC(O)CN1CCN(C(=O)CS(=O)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1,,,0.0,,,,,,,,1.0
COC(=O)C1C2CC3CCC1N3C/C2=C\C1=CC=C(I)S1,,,1.0,,,,,,,,1.0
CNC[C@@H](O)[C@H](C1=CC=CC(F)=C1)N1C(=O)N(C(C)C)C2=CC=CC(F)=C21,0.0,0.0,,,,,,,,1.0,
CCN(CC)C(=O)[C@@]1(C2=CC=CC3=CC=CC=C23)C[C@H]1CN,,,0.0,,,,,,,,0.0
COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1C1=CC=C(C)C=C1)N2C,1.0,1.0,,,,,,,,1.0,
O=C(C1=CC=C(C2=CC=CC(Cl)=C2)C=C1)N1CC2CCC(C1)N2C1=NC=CC=N1,0.0,,,,,,,,,,
CN1CC(CNCCC2=CNC3=CC=CC=C23)OC2=CC=CC=C21,,,1.0,,,,,,,,
CC1=NC2=C(N3CCN([C@H]4CC[C@@H](C5=CNC6=CC=CC=C65)CC4)CC3)C=CC=C2N1,,,1.0,,,,,,,,
