Term,Adjusted P-value,logp
Orthostatic hypotension,2.5605507547497294e-08,7.591666611241702
Tachycardia,1.1857478058838501e-05,4.926007670296937
Dependence,0.00012509133713499982,3.90277276516458
Hyperhidrosis,0.00012509133713499982,3.90277276516458
Extrapyramidal disorder,0.00012509133713499982,3.90277276516458
Mydriasis,0.00034131271815528744,3.4668475285342772
Psychotic disorder,0.0003802047433839402,3.4199824692364347
Insomnia,0.00047115375440962454,3.3268373438371515
Dysuria,0.0008287972866596722,3.0815516794022457
Miosis,0.0008399517819320608,3.0757456442260764
Tardive dyskinesia,0.001004848738749443,2.9978993082639325
Ejaculation disorder,0.001957740417197516,2.7082448931520586
Bladder disorder,0.0025028583010239035,2.601563737217742
Restlessness,0.0025028583010239035,2.601563737217742
Hypersomnia,0.002574308720583271,2.589339372114608
Anticholinergic syndrome,0.0028815459692207355,2.540374447739867
Parkinsonism,0.008024161554272914,2.095600336041608
Dystonia,0.008024161554272914,2.095600336041608
Cardiac failure congestive,0.011451814426999751,1.9411256981969802
Body temperature increased,0.011596538894691718,1.9356716110513517
Galactorrhoea,0.011596538894691718,1.9356716110513517
Dermatitis contact,0.011596538894691718,1.9356716110513517
Withdrawal syndrome,0.011596538894691718,1.9356716110513517
Hyperthermia,0.011596538894691718,1.9356716110513517
Biliary colic,0.011596538894691718,1.9356716110513517
Ureteral spasm,0.011596538894691718,1.9356716110513517
Cerebrovascular disorder,0.011596538894691718,1.9356716110513517
Injection site irritation,0.011596538894691718,1.9356716110513517
Dyskinesia,0.011930486721288321,1.923341838303011
Hyperesthesia,0.014867578866567232,1.8277597490638213
Schizophrenia,0.014867578866567232,1.8277597490638213
Gastrointestinal disorder,0.01672829248200486,1.7765483868014376
Sexual dysfunction,0.01672829248200486,1.7765483868014376
Sleep disorder,0.01672829248200486,1.7765483868014376
Fear,0.019146102696230793,1.7179196159395738
Heart rate increased,0.02044917292807425,1.689324252450635
Akathisia,0.022722407070053095,1.643545664075927
Sedation,0.025681461602947774,1.5903802630007131
Memory impairment,0.026590683490243176,1.5752704993654598
Tremor,0.026590683490243176,1.5752704993654598
Pulmonary hypertension,0.030643003592759687,1.5136686678961806
Hypomania,0.030643003592759687,1.5136686678961806
Blood glucose abnormal,0.030643003592759687,1.5136686678961806
Blood glucose increased,0.030643003592759687,1.5136686678961806
Shock,0.044259524391472196,1.353993257269786
Neuroleptic malignant syndrome,0.044259524391472196,1.353993257269786
Gestational hypertension,0.044259524391472196,1.353993257269786
Sneezing,0.05125423895704353,1.2902702106717543
Intranasal paraesthesia,0.05125423895704353,1.2902702106717543
Ileus paralytic,0.05125423895704353,1.2902702106717543
Cerebral haemorrhage,0.05125423895704353,1.2902702106717543
Mania,0.05125423895704353,1.2902702106717543
Mood altered,0.05125423895704353,1.2902702106717543
Vasoconstriction,0.05125423895704353,1.2902702106717543
Sudden death,0.05125423895704353,1.2902702106717543
Pallor,0.05125423895704353,1.2902702106717543
Nasal dryness,0.05125423895704353,1.2902702106717543
Bradycardia,0.05279786885299663,1.2773836070885913
Biliary tract disorder,0.05567718917090774,1.2543226979373232
Muscle rigidity,0.05567718917090774,1.2543226979373232
Electrocardiogram QT prolonged,0.055963777930164584,1.2520929754017616
