Term,Adjusted P-value,logp
Insomnia,0.0018104389538932926,2.7422161145554798
Ejaculation disorder,0.009454479192856604,2.0243623896003426
Dystonia,0.009454479192856604,2.0243623896003426
Parkinsonism,0.009454479192856604,2.0243623896003426
Dyskinesia,0.009454479192856604,2.0243623896003426
Tardive dyskinesia,0.010087336099936874,1.996223508673469
Nervousness,0.010087336099936874,1.996223508673469
Orthostatic hypotension,0.018545983515510813,1.731750130572995
Body temperature decreased,0.018545983515510813,1.731750130572995
Sexual dysfunction,0.022470123154489898,1.6483945472885342
Convulsion,0.02922638344805382,1.5342249220947664
Confusional state,0.04044721607296989,1.3931113649232707
Galactorrhoea,0.04044721607296989,1.3931113649232707
Hypothermia,0.042705497344242886,1.3695162160148426
Irritable bowel syndrome,0.05180146399631168,1.285657966190382
Apnoea,0.06060596521593519,1.2174846277666282
Tachycardia,0.062304423061390654,1.2054811211904348
Decreased activity,0.062304423061390654,1.2054811211904348
Dermatitis allergic,0.09218845524841614,1.0353234621983765
Miosis,0.09218845524841614,1.0353234621983765
Hypercholesterolaemia,0.09218845524841614,1.0353234621983765
Hyperthermia,0.0955940984898892,1.0195689181045244
"Hallucination, auditory",0.09833817179844759,1.0072778699245066
Altered state of consciousness,0.09833817179844759,1.0072778699245066
Hypotonia,0.09996726646188492,1.000142183221835
Diarrhoea,0.10087435028387873,0.9962192494845941
Dependence,0.10087435028387873,0.9962192494845941
Drug abuse,0.10087435028387873,0.9962192494845941
Vomiting,0.11714440801114914,0.9312784379920275
Lipid metabolism disorder,0.11714440801114914,0.9312784379920275
Ileus paralytic,0.11722672102243308,0.9309733826022559
Neuroleptic malignant syndrome,0.11722672102243308,0.9309733826022559
Respiratory failure,0.12553019369649435,0.9012518010464976
Weight decreased,0.13283560073786724,0.8766855158416865
Abnormal feces,0.13283560073786724,0.8766855158416865
Memory impairment,0.13283560073786724,0.8766855158416865
Inappropriate antidiuretic hormone secretion,0.13283560073786724,0.8766855158416865
Anxiety,0.13283560073786724,0.8766855158416865
Angiopathy,0.13283560073786724,0.8766855158416865
Carbohydrate metabolism disorder,0.13283560073786724,0.8766855158416865
Restless legs syndrome,0.13283560073786724,0.8766855158416865
Dizziness postural,0.13283560073786724,0.8766855158416865
Pulmonary oedema,0.13283560073786724,0.8766855158416865
Dermatitis exfoliative,0.13283560073786724,0.8766855158416865
Colitis ischemic,0.13283560073786724,0.8766855158416865
Psychomotor hyperactivity,0.13942081651906912,0.8556723781431375
Disorientation,0.14269534660072447,0.8455901893140801
Restlessness,0.14269534660072447,0.8455901893140801
Extrapyramidal disorder,0.1673644998857588,0.7763366558931141
Somnolence,0.1807434602791273,0.7429374075386569
Pulmonary hypertension,0.18541010460198304,0.7318666010798676
Akathisia,0.1856829351367929,0.7312280074959244
Hypersomnia,0.19459202834118255,0.7108749550149855
Lenticular opacities,0.19459202834118255,0.7108749550149855
Hyperprolactinaemia,0.19459202834118255,0.7108749550149855
Priapism,0.19459202834118255,0.7108749550149855
Sedation,0.19459202834118255,0.7108749550149855
Shock,0.19459202834118255,0.7108749550149855
Cardiac failure congestive,0.19459202834118255,0.7108749550149855
Respiratory disorder,0.19459202834118255,0.7108749550149855
Corneal pigmentation,0.19459202834118255,0.7108749550149855
Corneal opacity,0.19459202834118255,0.7108749550149855
Headache,0.19459202834118255,0.7108749550149855
Erectile dysfunction,0.19459202834118255,0.7108749550149855
Eyelash discolouration,0.19459202834118255,0.7108749550149855
Heart rate decreased,0.19973940452715594,0.6995362491976272
Drug withdrawal syndrome,0.2091861532340468,0.6794670663299598
Visual impairment,0.2091861532340468,0.6794670663299598
Balance disorder,0.2091861532340468,0.6794670663299598
Laryngospasm,0.2091861532340468,0.6794670663299598
Hyponatremia,0.2091861532340468,0.6794670663299598
Blood prolactin increased,0.2091861532340468,0.6794670663299598
Nightmare,0.2091861532340468,0.6794670663299598
Paresthesia,0.2091861532340468,0.6794670663299598
Respiratory depression,0.23797822811343183,0.6234627733750301
Bladder disorder,0.24671642604197555,0.607801934815465
Psychotic disorder,0.24671642604197555,0.607801934815465
Presyncope,0.2638965459632312,0.5785662940502263
Nystagmus,0.2638965459632312,0.5785662940502263
Hyperglycemia,0.27700142129399563,0.5575180025653136
Gangrene,0.27800689847420346,0.5559444273477195
Central nervous system stimulation,0.27800689847420346,0.5559444273477195
Conduction disorder,0.27988945141481786,0.5530134690889084
Hallucination,0.33574537896932977,0.4739899560291104
Increased appetite,0.34654064342934915,0.4602458225761138
Injection site pain,0.34654064342934915,0.4602458225761138
Tremor,0.34654064342934915,0.4602458225761138
Ureteral spasm,0.34654064342934915,0.4602458225761138
Injection site irritation,0.34654064342934915,0.4602458225761138
Withdrawal syndrome,0.34654064342934915,0.4602458225761138
Biliary colic,0.34654064342934915,0.4602458225761138
Cerebrovascular disorder,0.34654064342934915,0.4602458225761138
Dermatitis contact,0.34654064342934915,0.4602458225761138
Drug tolerance,0.34654064342934915,0.4602458225761138
