Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	Abdominal distension	4/8	4.022161e-01	6.320539e-01	1.336134e+00	1.216906e+00	HTR3A_10141;HTR3A_9606;HTR3A_10116;HTR3A_10090
gs_ind_0	Abdominal pain	2/11	9.727517e-01	9.999898e-01	5.254823e-01	1.451719e-02	HRH1_10116;HRH1_9606
gs_ind_0	Abnormal feces	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	HTR3A_10141;HTR3A_9606;HTR3A_10116;HTR3A_10090
gs_ind_0	Acne	3/11	8.867455e-01	9.999898e-01	7.455500e-01	8.961306e-02	SLC6A3_10090;SLC6A3_10116;SLC6A3_9606
gs_ind_0	Agranulocytosis	3/6	4.534979e-01	6.870358e-01	1.355188e+00	1.071635e+00	HRH1_10116;HRH1_9606;DRD1_10116
gs_ind_0	Akathisia	15/26	3.889801e-02	1.856829e-01	1.567547e+00	5.089531e+00	HTR7_10116;DRD2_10090;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HRH1_10116;ADRB2_9913;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HRH1_9606;HTR7_9606
gs_ind_0	Altered state of consciousness	5/5	9.328522e-03	9.833817e-02	2.600000e+00	1.215416e+01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116
gs_ind_0	Amenorrhoea	6/14	5.124964e-01	7.446458e-01	1.125392e+00	7.522813e-01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Angina pectoris	2/10	9.571142e-01	9.999898e-01	5.786818e-01	2.536510e-02	ADRB2_9913;ADRB1_10090
gs_ind_0	Angiopathy	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRA1A_10116
gs_ind_0	Anticholinergic syndrome	8/26	8.933418e-01	9.999898e-01	7.730419e-01	8.718833e-02	SLC6A4_9606;HTR2A_9606;SLC6A4_10116;HRH1_10116;HTR2A_10116;HRH1_9606;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Anxiety	19/33	1.939254e-02	1.328356e-01	1.597015e+00	6.296817e+00	HTR1A_9606;SLC6A4_10116;OPRK1_10141;HTR1A_10116;CNR1_10116;SLC6A4_10090;ADRA1A_10116;OPRK1_10090;ADRB1_10090;ADRA1A_9913;CNR1_9606;OPRK1_10116;CNR1_10090;ADRA1A_9986;ADRB2_9913;SLC6A4_9606;OPRK1_9606;ADRA1A_9606;HTR1A_10090
gs_ind_0	Apnoea	13/18	3.832788e-03	6.060597e-02	1.985544e+00	1.104789e+01	CHRNA1_9606;SCN5A_9606;HTR3A_10116;SCN2A_9606;CHRNA4_9606;HTR3A_9606;ACHE_10116;HTR3A_10141;ACHE_10090;GABRA1_9606;SCN2A_10116;CHRNA4_10116;HTR3A_10090
gs_ind_0	Aptyalism	1/4	8.722110e-01	9.999898e-01	8.257081e-01	1.128941e-01	SLC6A2_10090
gs_ind_0	Arrhythmia	10/29	8.018159e-01	9.752857e-01	8.674200e-01	1.915925e-01	SCN5A_9606;ADORA1_9986;ADRB1_10090;ADRA1A_9986;HRH1_10116;ADRB2_9913;ADRA1A_9606;ADRA1A_10116;HRH1_9606;ADRA1A_9913
gs_ind_0	Asthenia	4/9	5.160708e-01	7.446458e-01	1.189044e+00	7.865660e-01	HTR1A_9606;HTR1A_10090;ADRB1_10090;HTR1A_10116
gs_ind_0	Asthma	2/12	9.828645e-01	9.999898e-01	4.807947e-01	8.310053e-03	TACR1_10141;TACR1_10116
gs_ind_0	Ataxia	5/14	7.264031e-01	9.571875e-01	9.391201e-01	3.001899e-01	ACHE_10116;HRH1_10116;ACHE_10090;GABRA1_9606;HRH1_9606
gs_ind_0	Atrioventricular block	3/16	9.848760e-01	9.999898e-01	5.053895e-01	7.701915e-03	ADRB2_9913;ADORA1_9986;ADRB1_10090
gs_ind_0	Balance disorder	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	SLC6A3_9606;SLC6A3_10116;SLC6A3_10090
gs_ind_0	Biliary colic	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Biliary tract disorder	1/5	9.242732e-01	9.999898e-01	6.720143e-01	5.291953e-02	OPRM1_10090
